X_in,X_out
661,10
40,34
350,62
2749,1162
827,14
24,442
3287,232
647,2
476,57
556,16
3579,12
76,43
184,3
3759,138
408,2195
279,581
858,41
1087,182
669,344
211,1
1264,2408
1118,114
2150,151
32,3697
1372,2459
29,48
1453,1077
1803,212
3996,24
2059,19
2422,6
3392,41
1594,6
3982,146
934,390
604,140
2233,7
2144,52
383,5
338,1417
614,512
3014,550
3240,2901
2388,841
2241,14
1570,1
3601,1
710,1
2175,33
2384,28
927,4
1144,1026
123,12
1691,14
117,24
2107,1
39,37
797,1
3708,31
1894,2
13,13
378,677
31,3767
3543,712
3972,14
2563,1618
1302,1
3129,3
906,287
1,8
262,5
522,11
803,385
322,4
1922,7
2553,161
564,12
947,507
266,6
2194,1507
3299,38
27,48
195,3
2311,2
511,197
3776,1888
1228,89
425,14
604,1
1358,248
3715,156
24,12
2177,19
512,2
2403,14
3377,44
3524,157
142,658
369,3356
2276,18
476,2910
678,1
17,13
3863,7
2074,3
24,66
35,17
34,988
2671,115
610,78
764,5
140,1
2807,19
1298,30
1853,1223
1297,209
16,9
269,806
1043,3
3831,24
2215,27
1543,2
1202,6
131,21
2996,170
3941,1
26,60
645,10
79,29
339,31
2084,1233
369,1
2059,1
324,5
2743,2815
3207,19
634,165
1372,19
693,484
1646,265
3821,10
2279,11
509,12
1950,224
3390,6
732,76
281,18
2517,6
593,10
2968,39
1082,1
408,6
564,1
727,4
648,319
3250,6
1079,2247
1596,269
2533,37
2793,58
244,303
1130,26
373,4
3997,47
2738,24
2339,2339
1623,8
3626,622
1596,3
2735,1229
1256,2503
911,3
2273,139
114,1
3992,12
126,2893
1502,3
219,3
324,85
1435,922
75,8
607,20
1501,132
2488,541
217,1
2184,127
889,736
1944,94
3245,1915
3414,807
3009,1
7,74
2273,7
3747,1
1651,1651
397,152
2941,14
3594,5
3269,3
2934,413
1185,25
1490,7
663,1
1215,3014
906,25
21,5
1597,1143
308,450
3,1
405,15
442,14
2955,15
1067,143
1039,1
635,385
3953,25
3725,2492
1245,5
866,2
334,924
1058,418
2049,1
2230,10
2720,689
41,60
715,14
954,5
23,332
1673,21
35,1
3075,398
2086,2
976,1
2192,2980
1004,39
2565,171
730,30
162,1140
2694,1185
2386,194
664,965
163,3165
3553,17
866,2
559,32
1358,87
273,4
3522,1461
548,4
2203,153
82,1120
1114,66
3192,2
216,1486
612,487
1111,5
752,18
3418,17
2522,2
1564,1959
92,11
1070,6
3672,812
3816,6
2387,93
1144,1732
2124,10
236,2911
171,159
16,17
93,1146
3351,20
2834,2754
3151,1846
212,2974
2314,145
147,1
408,14
1461,20
2111,5
3627,15
30,3273
483,3
214,84
2348,1
865,353
346,898
2518,297
26,28
126,1706
823,250
2152,33
2229,1957
797,12
772,42
1105,5
1315,11
844,2876
2904,3
2345,14
977,846
72,2796
23,23
1585,11
1196,66
1280,18
3250,25
28,46
1022,284
3497,2518
1861,87
1663,919
924,10
248,2037
1048,5
785,7
639,1
3935,1577
3902,774
1247,60
207,941
2750,1444
1933,1
370,2
3489,1
2435,949
533,10
1025,3036
403,5
42,896
776,7
2916,13
335,181
3722,428
2134,1120
3344,146
1948,15
878,2
399,33
3391,1
970,2598
1071,2369
3993,111
10,1685
3420,26
1410,1
3293,10
1542,2465
1354,22
3345,14
3561,6
1123,4
257,134
3484,139
643,5
3848,3
1273,1004
1639,58
2479,1251
3956,150
1761,47
2654,3
1590,2
150,8
804,1463
189,2937
1018,1
2183,1281
1405,487
2562,3025
904,1
1939,6
227,28
56,173
946,146
525,332
705,1843
530,105
286,693
43,3716
1586,46
3184,2
556,9
139,1447
1608,1
1247,40
2611,2
2077,133
2085,149
1733,13
3625,32
3674,34
104,43
2,33
871,19
3126,26
3629,737
3155,314
207,62
3323,25
3461,1633
696,18
3222,14
374,738
2378,495
3239,1
499,737
2449,2626
742,25
505,2673
1530,3483
614,10
2619,1862
2365,75
2426,3
2412,56
2563,125
2101,1597
835,69
222,1
948,7
3683,6
205,456
1140,34
2931,2931
121,1
2115,3
734,41
1490,361
1609,65
2740,34
2213,106
1914,24
3474,11
359,6
3387,466
16,91
3346,223
1302,194
440,2596
2305,3602
634,8
3289,36
731,234
2712,24
29,14
3677,3
26,3728
3720,14
758,16
2370,597
724,6
1722,2371
1393,9
67,62
842,2
2191,581
2240,7
3258,227
2,33
392,836
3721,42
401,625
280,403
2433,18
900,1301
81,246
1701,662
2325,71
1399,7
676,3146
957,1
2363,12
1778,30
2000,127
604,47
3777,233
3658,374
1776,470
3069,750
937,273
2023,1
606,3
892,2202
1423,175
693,14
3177,26
1139,199
2918,1108
3652,5
1657,1400
1414,709
432,1057
3195,1
1548,7
227,887
1293,903
1289,1289
609,24
1816,1667
889,6
1040,101
1971,18
977,1
5,50
356,1106
1954,12
117,18
1342,11
312,75
1607,2
274,5
380,3
1253,1
1849,613
3712,27
2787,5
14,27
1363,31
3841,1797
196,508
1620,30
3415,626
1454,2329
3162,5
1103,23
2744,26
68,37
1415,6
7,28
3655,3071
2287,413
2353,1
229,30
9,9
3563,2
2162,2372
2344,835
1226,75
1183,22
2052,127
11,6
2568,1
429,8
2387,1
3044,2159
3490,1591
1818,731
2768,2
294,5
888,38
2390,67
1789,938
3094,6
55,12
170,122
5,10
5,4
3331,1992
1796,743
2114,1
287,441
3217,1
2905,1
184,3911
1317,48
1090,46
3124,61
3625,29
1694,27
1503,104
116,161
1929,158
654,564
3565,4
416,5
9,9
166,1
2826,25
720,21
441,129
225,2
3908,2
3113,14
2077,1088
945,106
2248,6
590,1430
220,3646
1565,265
2330,2931
3175,2
3438,643
1233,238
3534,2560
1196,6
614,829
1180,85
2564,104
3180,15
619,1809
2725,1299
3131,46
23,42
281,20
126,10
901,2
836,2830
1188,424
3718,31
402,11
1221,13
2338,254
18,34
643,1423
2099,20
30,108
88,1288
393,4
2549,19
136,948
498,58
1881,37
294,247
1252,370
541,25
2115,15
1573,1
1861,7
24,39
1975,3923
2539,2
1355,54
354,127
3566,2
2021,619
2150,224
105,28
9,16
560,843
138,37
385,1358
2501,1
366,2
1740,770
3504,1931
36,6
1174,40
200,15
511,18
2168,18
6,132
2755,1775
911,696
2092,6
2044,25
1387,436
85,320
979,504
2603,51
1469,1261
3217,536
3277,123
3313,11
1967,274
8,4
2243,432
74,30
1333,2
2937,1
25,1189
96,940
1526,6
2456,19
287,3191
1504,118
3537,216
3207,21
3176,1
2107,3
100,26
34,1528
580,1511
2416,1165
162,34
2631,1212
2196,1
1541,1010
2982,1
3988,14
306,36
2389,16
3327,751
3523,1
2300,40
1840,2
673,2708
2601,19
681,3
1765,2
835,7
23,4
3837,94
2380,2
3250,7
721,1
2335,1654
381,7
1651,1651
1679,1
279,1
286,1812
1597,59
1465,50
1211,4
2556,1460
501,3
2341,12
421,645
2159,899
533,22
3954,100
1969,193
1091,4
3885,15
1062,34
2794,7
291,2
664,1365
1855,923
1736,38
790,3
2733,207
1199,3
1059,3
1004,34
2131,424
1445,403
3358,815
609,678
11,36
1234,758
2166,181
3494,950
1526,1
3459,3
3425,2942
1460,98
2134,451
1391,186
2570,568
2514,7
3560,2
107,135
1261,3
2339,7
3343,160
261,38
70,22
3381,2
3093,1
1569,39
3528,219
675,1261
3472,12
596,9
3776,1
2275,1
2631,822
29,31
5,1
1112,666
1885,2
2344,867
3673,57
3213,5
81,10
661,21
1016,327
1119,310
298,2
1489,568
3556,1120
989,532
200,2
305,6
1265,3007
1840,2
2560,36
10,9
48,7
1517,6
2289,1247
2699,26
1494,3134
93,11
692,2324
1196,1
380,35
57,2304
14,3
758,1342
1541,4
3254,121
77,567
233,4
827,20
8,559
3699,502
152,5
3537,1
2284,11
3335,1
1785,61
2402,1598
2181,2467
2166,1314
3386,34
654,264
288,29
2932,296
3917,4
252,16
3253,18
2144,2
1334,108
1529,103
2884,2
2532,42
2287,1
3245,4
1064,2
3516,6
281,119
99,1
2085,3
3943,2
41,42
1119,84
2021,1976
186,5
442,32
69,4
3184,175
307,2
1402,147
710,1843
1282,2
876,941
1710,5
1786,51
303,384
3664,35
1913,1777
2334,512
721,66
472,2
644,26
2077,70
2464,1041
2307,56
209,209
66,26
3580,6
642,1
2721,402
714,68
2853,158
176,1278
890,45
933,3357
701,1241
2633,49
141,399
2414,18
3644,688
2235,19
8,2
1867,1643
806,1
15,164
1520,3
748,7
356,403
81,28
2495,41
2135,2050
3074,660
3043,97
1147,2217
9,4
1748,278
717,219
2243,2735
45,817
67,1
2719,169
13,4
1762,2
1216,1
2208,2242
2109,167
339,314
395,827
3179,13
3310,1
8,21
1281,209
3059,3
1607,31
2377,2
471,3
59,5
2114,1
542,2945
589,1
2592,2592
212,55
1380,21
1929,2
2100,7
6,260
2044,530
1223,3
1466,6
2060,2
1980,606
2570,24
1225,143
393,2
642,1494
2237,1
1681,695
1668,4
583,3
32,35
2871,30
2397,1
56,2312
516,21
23,8
1079,143
2558,128
388,30
3683,1266
3149,2
1424,3300
2585,27
3845,1985
125,710
143,2335
630,1170
1786,6
3754,10
531,586
3070,3
1074,1054
4,9
217,80
825,206
11,27
908,24
1640,6
3941,3
3920,1994
2802,465
146,11
261,1667
435,507
275,1115
2139,5
715,580
1909,374
3806,1
1110,1428
2128,3
1636,17
271,38
443,13
121,30
1499,17
468,13
141,1
2534,864
2207,1
3962,74
472,2
1100,1351
2466,6
654,5
1043,5
1660,11
1253,7
182,1831
2416,5
1968,2
1723,35
947,365
3107,173
1250,11
3129,15
1805,1173
502,41
3890,243
205,2382
2393,25
259,3463
533,4
2690,1
2414,58
1598,19
373,7
388,5
741,7
3257,29
994,38
298,12
819,20
2813,1071
434,4
559,18
72,2812
93,7
3276,50
583,176
358,804
655,142
29,5
80,6
3333,11
1428,766
1345,415
862,2
519,7
24,336
29,230
1157,7
88,921
3849,712
1495,29
3764,1
28,7
643,56
1304,202
452,5
385,730
2335,10
399,1029
1403,1818
3170,440
669,18
21,3
2176,677
716,1149
3921,9
781,255
3144,41
3409,5
422,36
3016,57
1357,1180
1,11
2019,2019
598,7
17,22
2917,26
2798,2217
3754,170
2645,15
1720,2181
1661,2
1156,122
2555,1
2256,91
874,2
22,596
1005,3
699,8
61,2815
1763,302
2198,820
202,713
3938,2
1219,36
1809,1
1186,1
1258,3
3131,2575
2874,2
3011,3
3,26
391,2
873,3
1100,224
1368,37
513,5
2000,127
421,150
118,1
356,7
2988,1298
355,1606
2161,26
2680,7
3388,3399
324,2
3643,34
248,788
242,11
2032,72
991,26
1173,297
872,19
650,2655
216,3
2427,2857
378,246
66,2308
627,1
2081,59
1030,27
2128,24
2228,6
3263,8
2048,943
1251,2
2792,26
32,173
297,874
582,248
2484,180
3222,119
434,6
696,2
56,360
55,1169
54,2133
1743,18
216,250
3495,47
1190,6
2031,35
606,1687
663,1
674,3671
3695,3
3944,2
404,3335
2,1088
1407,3312
3845,314
1784,2893
146,139
426,12
930,526
2505,387
1263,512
404,3292
1053,18
2330,24
76,971
1923,20
127,1
1034,2
446,1451
3571,185
1405,18
44,7
2,4
1087,6
482,6
2517,4
219,1022
2263,19
1470,6
1434,1
3319,21
642,24
966,95
2760,42
1106,458
473,58
77,30
499,3
377,2
918,3
1979,105
1256,15
3909,15
2004,1750
2332,172
3659,5
847,160
624,5
3307,36
1192,125
790,1
111,62
604,41
104,25
291,552
1511,15
34,1219
3182,395
467,104
1059,55
673,7
1074,5
1960,2693
1622,1594
701,7
1519,253
278,68
3386,35
2085,486
1388,24
1297,371
92,2630
292,603
144,7
3,2999
192,77
2724,1
1808,60
2122,57
3064,11
2616,799
124,227
1789,604
13,2583
3065,269
2652,2
2439,36
429,4
602,18
3131,7
1973,1
331,6
523,3
2999,5
2086,35
1952,1354
1290,24
1627,1
1195,2126
20,2617
455,1467
39,29
3831,453
2443,3
139,671
904,327
821,2
1038,20
3529,3442
412,1
1241,1
1139,6
776,111
536,206
419,3
3845,88
1758,12
1562,658
1093,729
487,5
1630,264
1092,54
276,39
3052,6
2549,46
904,27
940,327
3377,155
2418,28
3811,118
3237,616
499,1
330,44
243,1
2687,1863
500,150
3037,118
258,3121
3581,191
3063,607
633,238
388,1332
2164,32
2008,1
3317,90
2554,101
71,28
1106,911
3731,1812
2187,1
498,336
220,42
761,6
1352,35
56,2
147,14
949,58
2014,13
448,3
2,94
1638,2
1,1324
3927,5
3639,1947
7,1
733,238
3903,616
2038,2
79,1588
2980,21
2375,8
2301,14
1116,9
1175,19
287,395
715,68
1694,48
1054,3
2661,41
415,36
3426,1
287,1586
857,19
2482,2
386,1269
3248,3
1898,311
2979,83
29,34
2179,348
2088,6
3153,1946
1409,2439
78,3
1980,1675
816,1
3081,18
828,604
64,4
2324,530
409,25
1904,657
1522,352
17,1101
1902,11
520,3
2749,122
27,1399
2853,3816
1879,805
2532,1
1256,2
3155,3
1906,3
1988,1
2463,2
1122,27
2915,1
18,15
1447,867
1364,894
483,373
335,4
82,58
835,31
2048,5
1786,8
422,1671
3893,1
2808,3571
1006,155
1767,85
50,1199
3787,7
1693,587
2609,383
378,516
2631,822
918,2273
1170,7
371,1
475,722
1796,7
148,6
2005,2
1170,2
2129,1
3558,3
3207,31
1900,78
984,48
1888,30
3372,1039
1660,234
216,38
2501,40
1884,26
1376,92
2909,3044
2174,2845
60,26
1474,6
798,12
3360,15
671,986
356,229
2095,458
233,46
2108,1152
296,2
1117,12
1311,321
2957,1
3588,156
1907,586
653,12
392,24
82,579
488,2
844,844
3718,1
929,735
3274,2
1810,15
2400,338
3878,2330
1814,36
177,5
1743,19
2291,115
3139,85
3565,2081
3026,24
547,20
212,693
536,19
2329,6
486,49
759,24
430,159
2720,167
1038,3923
112,50
1622,22
2832,3893
3596,38
2740,107
3414,1542
1112,59
3997,102
3542,75
3823,102
2887,9
277,1
1046,1305
2958,435
1701,362
875,128
2371,580
2946,958
93,89
799,6
3762,21
1365,12
2325,3
1782,491
121,1
20,11
2162,7
86,833
410,655
1701,1
3901,7
2247,1815
417,17
2927,2092
1217,1
339,2
2120,1183
3267,3278
2670,1
2127,18
1685,8
778,31
2087,2
291,35
3277,5
2152,333
264,184
2100,1493
3601,119
2153,1511
1999,72
1058,67
3699,7
29,481
20,2213
1789,1
518,18
2417,40
979,4
2539,27
2907,11
581,1
2426,8
436,814
991,163
188,1540
1654,3986
109,3396
1305,28
337,30
352,1
1225,30
2919,1531
1778,108
194,723
412,1
77,2184
2427,20
1883,2073
2942,798
3450,175
1189,1007
994,32
605,139
2587,902
2155,7
920,9
2148,155
3187,6
733,5
2238,18
1213,165
1442,889
3242,212
304,25
2709,271
83,39
1426,3
858,113
1,679
388,15
205,14
1729,1955
2003,33
1261,1
2235,1928
274,1
29,1409
750,1
1160,1
666,469
374,31
2934,2800
216,158
493,6
1805,3124
2347,1873
491,311
1712,6
994,39
577,976
1718,2
659,352
2832,66
3760,1
121,126
525,124
83,651
2144,3
1415,375
3083,9
1296,11
3221,5
632,1
283,1339
1950,35
2725,2
393,1
3672,1022
262,11
3678,873
1578,7
2807,443
51,424
10,13
2123,2405
1154,21
1466,15
1502,19
1210,5
1848,5
1943,257
231,7
441,1
357,5
1730,11
3345,3801
1062,1338
3083,9
1238,1460
1748,11
3183,31
2888,1
897,3
931,101
280,32
661,21
1164,9
2336,2060
1519,230
3457,5
1299,78
2328,2
1642,444
845,2
3091,559
558,77
2837,1303
666,26
2713,743
1644,1370
3129,12
1353,3548
2262,8
1885,1
997,33
1640,148
53,14
3896,12
485,5
3087,74
2462,36
2580,5
1295,4
1563,138
33,430
1501,2
1019,337
2259,6
2065,1748
3996,13
1776,1043
1484,98
1612,1072
2164,1
536,562
1238,451
26,254
307,35
45,2384
1099,55
1336,6
626,11
3377,18
1640,11
1136,1
997,406
1587,2696
2746,2128
705,1
3663,7
2157,1
1607,27
483,12
1020,118
74,34
2855,43
85,137
2499,3
2173,842
3443,5
1180,472
3369,20
3821,3
2843,5
536,52
2528,29
411,378
840,487
2058,1219
924,29
2994,14
335,19
2514,20
3827,3141
20,102
2843,3375
27,51
321,4
80,635
437,345
18,27
530,2448
31,1976
3734,14
2237,2
2116,10
1268,35
184,34
2045,50
130,166
747,30
271,33
2392,33
27,129
3548,3
2051,3312
33,266
186,1
526,504
3231,1544
906,1
26,7
1434,122
641,1222
1532,30
2648,3572
164,11
3945,35
2264,3
1819,626
2221,80
836,9
27,18
3951,25
1772,311
762,5
23,9
2820,1813
3742,3020
16,8
247,12
3599,765
3214,1
2459,5
358,52
18,6
987,815
2388,2318
46,190
2242,1087
2723,30
2745,126
47,50
65,988
217,519
830,18
75,10
668,4
1878,954
2010,40
269,562
1819,2
1,12
2279,240
2251,1223
5,12
21,13
26,358
1525,7
1261,2
3671,467
246,346
1258,13
3864,1748
3733,32
21,9
1181,2
1416,47
1593,2
1039,19
1911,23
3954,25
1031,485
205,1
991,1
29,6
2876,113
2851,77
36,220
788,104
1511,527
576,54
1853,1
2267,96
3327,1492
139,51
1748,1
2598,1
2939,2279
1079,981
2069,27
1892,1
3888,168
1066,3
2866,6
129,940
2291,469
2674,122
2096,1
752,7
883,197
1053,6
868,1
1925,36
698,7
53,1923
3193,3
3780,69
1173,234
1018,6
22,9
2348,2484
2126,342
2345,41
731,18
1949,46
2177,346
2158,11
3224,6
3727,773
3545,3587
2083,6
3363,1302
1424,245
2261,12
1306,584
1833,25
3434,22
2410,130
1959,366
94,1502
123,1791
2268,90
34,83
2352,3
2797,50
3265,14
333,6
1495,6
1087,6
965,223
2030,30
2595,8
227,1
616,40
1317,1
3702,9
719,14
2974,7
1556,276
1,137
136,80
1383,1
1084,307
11,1
2452,7
541,34
51,70
151,1991
2388,1546
3047,1865
3252,5
1014,7
637,11
1664,2
236,1264
999,65
2991,11
2796,4
2911,442
1822,452
3089,3519
449,679
712,474
2799,1353
577,27
59,1005
2855,3
2310,835
190,2246
2553,1208
6,3441
47,1074
1529,73
1461,20
684,716
1196,6
2051,3768
2905,1
2899,306
64,320
1392,6
1866,1504
1721,2745
161,1
2408,1322
1567,204
2565,3
2476,45
1208,2
2367,242
2714,1665
2557,127
985,7
959,190
2104,15
1468,12
972,362
111,2471
1673,2
179,2
321,2186
1282,2126
1188,8
1536,33
2183,3
12,2789
1829,6
818,6
3278,6
107,57
682,1001
628,6
103,59
645,20
158,241
235,7
1892,740
2160,6
680,180
886,113
209,1
556,10
1561,5
2396,378
1036,993
2807,2101
1694,358
1276,546
1509,7
3601,6
900,413
3078,117
2563,67
3357,535
641,1440
63,103
12,225
371,16
606,12
2951,36
2448,1
528,3486
60,11
197,31
1867,2629
429,14
1594,1
1371,5
1021,40
1795,2
2524,191
289,6
10,8
493,1
660,1409
3239,3448
786,2
46,18
673,45
2332,472
652,22
326,269
1924,2
3465,928
19,715
3782,334
805,47
18,2433
2271,5
549,51
804,5
3382,1649
3619,1
2077,6
225,71
816,7
977,184
401,123
429,4
2406,40
162,48
765,24
1324,7
1836,7
1415,44
1530,3
3868,27
2029,5
181,1
968,2
118,9
2492,166
1849,7
1852,1151
1262,7
392,78
202,1556
2103,141
2310,2
2826,3
628,3
67,97
2761,264
1182,7
812,765
60,706
2599,3
807,97
1851,15
2214,112
229,34
3038,27
637,59
2455,451
1451,163
2248,63
535,21
3818,198
135,84
2441,3877
1175,5
337,2532
10,22
581,1702
55,12
2374,5
2566,2738
2837,68
1184,30
2759,24
455,1920
185,12
1047,2
128,85
1968,2646
2630,2
2156,262
2100,67
494,45
2545,77
1021,51
2394,19
2729,3
6,361
3758,122
1737,859
3616,52
1416,7
2513,2
2620,1173
1512,1
323,650
2586,32
2941,1260
1789,3
588,2
3464,2
2512,29
2263,3
1457,2442
257,1
1683,19
1601,1
3243,15
2254,688
408,1
2060,387
1221,3
583,450
2068,61
3675,1
3071,7
3604,26
3112,367
2117,144
41,34
150,11
495,122
269,1
1658,2154
1724,951
1868,326
3184,2707
1398,60
3232,27
3341,1085
1425,6
2595,10
1389,3
2710,1
2556,7
54,41
3673,7
39,410
2680,17
2833,260
502,48
959,7
1934,18
101,1
2478,24
3028,1788
1047,1332
341,2105
1105,153
2176,42
291,10
20,453
3204,2
641,20
368,1573
2337,870
1079,1
1511,1
1811,1976
2607,1
1569,566
1404,2
2683,18
94,2989
3252,5
586,2
3393,1
2442,1020
2888,404
407,208
457,14
35,133
1676,1201
74,3335
423,5
40,1334
1747,15
2169,872
67,26
1910,1
470,2716
2818,29
352,1
1939,330
2043,57
1607,2150
2757,801
5,13
2746,2
992,206
1741,3
3225,9
554,43
801,2167
633,451
9,4
2424,4
161,953
386,21
797,29
11,43
56,732
63,320
3609,1
2573,1
1438,19
841,5
2950,3570
3149,3
1126,18
2590,1
2688,245
2701,1
3257,686
19,705
1978,24
2831,8
355,2
617,1
3537,204
1365,1
1706,1329
162,12
1240,19
1759,3
2568,203
1006,12
827,63
537,1243
3702,69
556,2255
1672,1
908,1
555,369
1728,1
214,84
1000,426
1007,90
563,1393
1644,3882
4,10
95,3601
3281,419
3362,310
3608,946
450,2278
233,11
680,4
1874,2519
2909,894
108,2
2592,2973
324,2177
77,198
3940,3
145,1000
481,5
72,1393
26,21
341,227
1569,3
927,970
3188,11
2258,3
808,1678
4,16
2506,33
2414,58
1371,663
341,5
3177,312
3814,20
236,25
2012,37
2977,188
1338,425
1651,119
602,8
519,2
464,4
912,11
3163,16
23,9
983,1
2555,11
6,672
3627,2
28,3108
721,43
2637,43
727,1
126,4
843,34
789,88
643,1420
1684,1
1816,25
1403,1818
47,1
549,5
3066,1
2569,4
2581,3
2015,119
1107,113
1230,1649
550,16
1338,11
157,432
185,6
955,3
1547,84
463,2
3653,14
199,392
3541,1
1158,691
1198,1436
2920,764
1538,3
439,23
374,404
46,12
834,28
3484,33
3862,15
3034,1
9,5
3090,47
1431,593
600,1085
612,243
187,1
1526,33
2016,3862
1345,2
1684,1495
3766,1197
763,3168
71,1
3816,3816
274,1260
3750,18
2425,256
1343,2
1136,493
2211,2840
1815,314
38,216
184,1667
595,52
1454,385
3407,1641
1507,435
31,3028
3448,5
992,2
2420,139
3414,40
734,847
3195,569
1682,11
2360,527
180,197
1917,2655
261,6
1767,590
12,2
1498,61
1089,3
275,124
1821,134
3770,538
3232,25
2002,1624
702,2578
109,1
922,35
1844,25
2468,7
1545,1325
427,280
1494,438
2,286
2642,1825
246,2305
1478,11
2389,527
3365,2629
1056,34
1476,1
566,255
1954,5
357,12
3912,427
3785,26
17,1186
2393,30
1508,1213
1368,1666
1037,645
2,1
597,690
25,6
593,2
805,26
2485,3272
2800,1330
2977,20
1040,814
670,4
3937,496
70,6
21,81
1025,346
1000,621
353,496
2862,1522
3422,128
328,159
869,4
1965,1
2425,1
8,16
169,1897
2660,22
1914,33
587,46
3225,3687
2591,3
1720,549
3927,2
863,62
1474,3
457,846
119,7
1301,3
360,11
2353,996
803,22
1925,18
3372,4
608,72
18,36
2082,2080
621,12
549,19
545,1
2583,358
652,1631
2271,484
1139,47
1,3683
2730,30
2135,438
3594,5
1637,11
1824,19
1725,261
3009,776
592,592
1184,37
577,12
3528,60
2499,39
219,1471
1427,1
1169,1821
3004,879
3988,19
2020,4
377,2
126,150
860,301
1119,124
12,12
270,242
83,24
1103,1916
816,1
2907,35
1177,2
3782,24
513,7
5,536
295,18
142,1264
126,73
304,6
3014,957
445,427
1853,297
3801,48
394,587
1905,1254
1353,1539
627,1
43,1485
475,25
2193,630
604,41
218,1
1175,30
15,3325
100,42
1574,4
1132,881
827,3
986,7
3691,2
407,30
992,9
3398,465
133,35
699,22
583,682
3732,12
176,57
65,17
3473,2
3133,1753
868,1
305,1992
1609,1
3714,3
20,88
2395,5
35,299
3901,12
1877,1
1404,834
667,17
965,34
2185,13
1039,2
3343,6
1517,687
1774,38
33,9
3286,562
605,2005
579,1916
3253,2687
2499,19
1134,4
1245,3
18,46
223,6
2343,1928
313,654
1746,1666
3696,1064
594,7
756,1
111,611
516,35
32,60
15,1
2977,153
1571,2301
1612,2
1070,566
1982,7
14,29
2599,436
1653,941
1585,1594
820,150
326,2279
2681,318
1958,55
2747,6
69,1281
6,10
3597,2995
1287,8
2682,2
1611,5
451,2301
3636,83
3315,409
39,54
1036,3429
3071,242
3404,1
1599,18
2216,123
494,45
2454,78
101,2
180,64
407,1656
188,63
144,5
2789,26
3969,2064
139,1017
2451,1
202,7
3689,1
1791,143
3403,1
1290,76
302,217
7,448
931,336
1079,2
1158,2814
689,7
2506,2
3385,710
1855,60
20,47
315,31
93,24
60,31
43,1593
1766,2
13,4
248,11
1954,242
2509,6
2929,450
3933,19
40,3841
3560,246
2281,2
1953,28
3865,29
171,4
2468,193
788,1
883,30
3516,113
782,2
804,3
288,1101
2972,265
1740,14
1826,2135
2491,1
783,1
756,2
1433,28
142,26
68,446
914,1429
452,12
3777,2660
3408,1
2095,88
1684,15
3553,28
3083,8
499,877
38,1195
797,1069
2289,31
1961,7
1287,57
2951,10
196,1
1433,904
891,1
40,552
3452,1
1371,24
1662,3
633,1
2515,53
1656,20
3000,190
3411,2
180,5
26,38
890,2407
3494,80
395,6
3028,1
1702,1083
2805,2445
3963,6
2208,1543
3923,13
2494,379
343,16
2645,238
1214,1970
2159,507
48,625
1317,1479
2452,508
2577,35
834,844
914,1
2019,184
2596,3244
997,6
3778,7
653,2
1256,114
132,1
2410,4
3359,2002
1305,7
914,1
3710,143
2888,28
3087,56
2428,29
1533,19
1649,1189
2834,62
2348,46
2927,1688
188,94
1706,3
3862,430
32,15
1947,319
2541,2
1376,1690
3594,5
531,12
2755,2448
2766,53
1485,607
2707,11
119,256
3642,3
182,5
3931,2
18,2616
1018,1042
598,4
339,7
265,1090
3774,1
2093,12
129,38
2967,1
861,2
1557,25
1217,5
669,4
825,67
572,2
2570,1
3141,1892
1653,18
3493,10
443,1904
1288,171
121,4
923,1
265,591
73,547
2139,2
3602,60
2065,481
2398,243
2138,81
16,32
411,10
593,15
21,91
1533,514
2700,3
275,345
439,17
2371,1840
1355,28
1694,20
3286,1
1000,38
1053,1
806,53
1631,951
108,71
221,3
1184,12
210,5
30,1
100,3323
1204,9
312,185
299,176
360,40
1318,4
1845,1
2924,3370
18,736
859,3219
727,97
2243,163
2712,31
733,2
5,1
1798,72
1381,20
3326,549
2398,76
1436,2
198,15
3117,8
3301,6
1145,861
23,4
3771,496
229,24
805,706
3816,1
1179,4
100,207
3536,2
1459,714
2590,48
2081,5
3341,8
677,71
1779,46
644,7
3431,29
2951,87
2669,3
3362,314
2974,686
8,16
447,792
37,36
2359,60
2600,1829
779,748
2069,47
503,3
2875,105
2382,3385
1502,263
2975,5
2171,628
2406,28
955,158
3527,1590
3332,1422
3998,29
3247,80
1677,8
3493,19
2084,2075
144,62
299,1
1796,130
3950,3
3365,964
2501,61
630,917
450,11
31,477
902,5
590,2
3583,3
318,407
175,868
319,14
2477,637
9,17
2252,175
470,20
2293,3
3326,118
1707,14
3,7
64,55
17,66
3338,609
2290,11
1220,1
1351,386
1669,214
1974,3
915,1
3022,355
808,602
723,851
3478,360
866,44
377,2
1548,52
123,22
202,2784
115,121
1849,8
923,36
1665,739
2029,103
14,48
3720,6
817,2
1507,595
3945,35
2040,2
869,94
16,9
721,106
1967,864
448,6
811,585
3215,1440
2824,7
603,668
2080,2978
322,4
3030,45
913,3279
319,3
1964,19
2701,3778
1314,5
2463,3
3472,1
3271,74
1528,294
3083,10
2605,5
762,18
723,1
2285,234
2141,3386
599,1
2540,49
154,213
182,1237
1236,54
906,362
2792,1036
449,2
915,606
125,2169
25,28
54,842
1562,3
2546,31
2337,199
533,22
3231,20
3544,1
924,1088
1237,417
2879,460
458,1
2186,3509
1319,1
2854,477
3,1232
1486,12
3940,1202
2331,23
11,1
1219,4
3191,1771
1470,813
63,390
69,2
36,808
556,8
1018,44
944,633
1290,20
208,1
1561,643
21,4
41,83
